anomaly_id,entity_type,entity_id,anomaly_type,module,severity,start_ts,end_ts,projected_impact_inr,realized_impact_inr,formula_name,formula_inputs_json,root_cause,recommended_action,required_team_type,required_role,expected_approver_role
A-56,work_item,56,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-18T12:14:00+05:30,2026-03-18T16:30:00+05:30,370.31,173.74,driver_shortage_loss,"{""delay_minutes"": 17, ""basket_value_inr"": 421.71, ""cancelled"": true, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-58,work_item,58,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:26:00+05:30,,209.4,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 252.83, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-62,work_item,62,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-28T12:00:00+05:30,2026-03-28T16:07:00+05:30,408.62,201.69,driver_shortage_loss,"{""delay_minutes"": 9, ""basket_value_inr"": 312.57, ""cancelled"": true, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-69,work_item,69,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-24T12:22:00+05:30,2026-03-24T15:53:00+05:30,169.27,84.77,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 126.7, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-70,work_item,70,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:21:00+05:30,,174.78,,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 151.48, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-83,work_item,83,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-17T12:37:00+05:30,2026-03-17T16:11:00+05:30,570.9,319.47,driver_shortage_loss,"{""delay_minutes"": 20, ""basket_value_inr"": 504.99, ""cancelled"": true, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-84,work_item,84,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-21T12:13:00+05:30,2026-03-21T16:07:00+05:30,281.51,172.4,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 215.41, ""cancelled"": true, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-105,work_item,105,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-28T12:14:00+05:30,,514.72,,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 564.7, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-113,work_item,113,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:42:00+05:30,,90.25,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 90, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-115,work_item,115,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-22T12:14:00+05:30,2026-03-22T16:03:00+05:30,456.74,112.65,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 381.74, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-116,work_item,116,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-19T12:12:00+05:30,2026-03-19T16:25:00+05:30,273.79,135.9,driver_shortage_loss,"{""delay_minutes"": 8, ""basket_value_inr"": 336.69, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-118,work_item,118,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-18T12:08:00+05:30,2026-03-18T15:58:00+05:30,828.36,492.31,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 691.03, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-121,work_item,121,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-27T12:36:00+05:30,2026-03-27T16:52:00+05:30,500.48,119.25,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 632.87, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-133,work_item,133,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:37:00+05:30,,365.42,,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 264.68, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-136,work_item,136,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-16T12:42:00+05:30,2026-03-16T17:09:00+05:30,381.62,105.89,driver_shortage_loss,"{""delay_minutes"": 10, ""basket_value_inr"": 390.48, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-137,work_item,137,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-15T12:35:00+05:30,2026-03-15T14:42:00+05:30,565.4,170.92,driver_shortage_loss,"{""delay_minutes"": 18, ""basket_value_inr"": 387.2, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-147,work_item,147,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:25:00+05:30,,155.08,,driver_shortage_loss,"{""delay_minutes"": 17, ""basket_value_inr"": 96.55, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-151,work_item,151,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:39:00+05:30,,338.3,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 409.57, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-161,work_item,161,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-16T12:26:00+05:30,2026-03-16T16:11:00+05:30,868.68,215.83,driver_shortage_loss,"{""delay_minutes"": 12, ""basket_value_inr"": 777.09, ""cancelled"": true, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-167,work_item,167,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-28T12:05:00+05:30,,1099.18,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 712.01, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-168,work_item,168,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:34:00+05:30,,138.07,,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 166.51, ""cancelled"": false, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-177,work_item,177,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-17T12:03:00+05:30,2026-03-17T13:44:00+05:30,884.95,413.74,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 615.39, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-178,work_item,178,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-25T12:25:00+05:30,2026-03-25T15:38:00+05:30,377.24,192.97,driver_shortage_loss,"{""delay_minutes"": 9, ""basket_value_inr"": 343.31, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-181,work_item,181,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:02:00+05:30,,283.75,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 320.25, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-183,work_item,183,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:33:00+05:30,,182.06,,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 178.76, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-192,work_item,192,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:06:00+05:30,,1062.04,,driver_shortage_loss,"{""delay_minutes"": 12, ""basket_value_inr"": 650.91, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-200,work_item,200,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:41:00+05:30,,969.44,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 692.12, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-203,work_item,203,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:31:00+05:30,,1011.83,,driver_shortage_loss,"{""delay_minutes"": 17, ""basket_value_inr"": 710.7, ""cancelled"": false, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-207,work_item,207,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-26T12:11:00+05:30,2026-03-26T16:28:00+05:30,538.64,160.78,driver_shortage_loss,"{""delay_minutes"": 17, ""basket_value_inr"": 351.28, ""cancelled"": true, ""reason"": ""inventory_substitution""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-211,work_item,211,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-18T12:44:00+05:30,2026-03-18T14:44:00+05:30,615.56,175.15,driver_shortage_loss,"{""delay_minutes"": 12, ""basket_value_inr"": 455.33, ""cancelled"": true, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-216,work_item,216,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-20T12:18:00+05:30,2026-03-20T14:01:00+05:30,71.05,33.24,driver_shortage_loss,"{""delay_minutes"": 17, ""basket_value_inr"": 90, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-219,work_item,219,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-27T12:45:00+05:30,,406.55,,driver_shortage_loss,"{""delay_minutes"": 8, ""basket_value_inr"": 340.47, ""cancelled"": true, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-229,work_item,229,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:45:00+05:30,,343.64,,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 271.9, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-232,work_item,232,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-19T12:29:00+05:30,2026-03-19T15:32:00+05:30,401.99,136.68,driver_shortage_loss,"{""delay_minutes"": 16, ""basket_value_inr"": 365.38, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-233,work_item,233,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-22T12:36:00+05:30,2026-03-22T16:39:00+05:30,886.93,509.68,driver_shortage_loss,"{""delay_minutes"": 18, ""basket_value_inr"": 690.44, ""cancelled"": true, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-242,work_item,242,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-26T12:35:00+05:30,2026-03-26T15:09:00+05:30,655.33,248.24,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 415.62, ""cancelled"": true, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-248,work_item,248,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-22T12:44:00+05:30,2026-03-22T16:04:00+05:30,1056.86,493.01,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 693.4, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-250,work_item,250,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-24T12:24:00+05:30,2026-03-24T13:52:00+05:30,1161.02,326.97,driver_shortage_loss,"{""delay_minutes"": 8, ""basket_value_inr"": 718.58, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-256,work_item,256,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:36:00+05:30,,229.06,,driver_shortage_loss,"{""delay_minutes"": 19, ""basket_value_inr"": 257.65, ""cancelled"": false, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-262,work_item,262,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:18:00+05:30,,2059.91,,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 1850, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-264,work_item,264,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:22:00+05:30,,282.05,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 307.13, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-266,work_item,266,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-18T12:24:00+05:30,2026-03-18T15:24:00+05:30,279.66,122.66,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 255.9, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-267,work_item,267,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:43:00+05:30,,974.76,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 625.07, ""cancelled"": false, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-270,work_item,270,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-18T12:37:00+05:30,2026-03-18T16:15:00+05:30,557.48,172.8,driver_shortage_loss,"{""delay_minutes"": 9, ""basket_value_inr"": 511.26, ""cancelled"": true, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-273,work_item,273,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-21T12:34:00+05:30,2026-03-21T16:14:00+05:30,541.36,293.24,driver_shortage_loss,"{""delay_minutes"": 9, ""basket_value_inr"": 501.79, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-277,work_item,277,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-22T12:14:00+05:30,2026-03-22T16:36:00+05:30,167.76,49.02,driver_shortage_loss,"{""delay_minutes"": 18, ""basket_value_inr"": 129.36, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-282,work_item,282,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:02:00+05:30,,827.66,,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 913.58, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-285,work_item,285,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-23T12:24:00+05:30,2026-03-23T15:58:00+05:30,393.59,183.47,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 338.95, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-286,work_item,286,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-22T12:28:00+05:30,2026-03-22T13:52:00+05:30,220.81,58.11,driver_shortage_loss,"{""delay_minutes"": 10, ""basket_value_inr"": 150.61, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-293,work_item,293,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:15:00+05:30,,185.83,,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 200.84, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-294,work_item,294,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-17T12:26:00+05:30,2026-03-17T16:36:00+05:30,700.61,165.75,driver_shortage_loss,"{""delay_minutes"": 10, ""basket_value_inr"": 467.96, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-297,work_item,297,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:18:00+05:30,,406.78,,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 245.98, ""cancelled"": false, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-304,work_item,304,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:22:00+05:30,,802.2,,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 532.09, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-307,work_item,307,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-23T12:41:00+05:30,2026-03-23T14:01:00+05:30,642.53,320.84,driver_shortage_loss,"{""delay_minutes"": 18, ""basket_value_inr"": 400.94, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-316,work_item,316,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:13:00+05:30,,786.0,,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 873.83, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-324,work_item,324,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-27T12:28:00+05:30,,558.73,,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 542.08, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-339,work_item,339,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-17T12:18:00+05:30,2026-03-17T14:26:00+05:30,513.89,230.64,driver_shortage_loss,"{""delay_minutes"": 18, ""basket_value_inr"": 348.69, ""cancelled"": true, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-341,work_item,341,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-21T12:38:00+05:30,2026-03-21T14:34:00+05:30,1020.19,557.25,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 759.36, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-344,work_item,344,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:35:00+05:30,,278.99,,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 276.47, ""cancelled"": false, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-346,work_item,346,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-25T12:27:00+05:30,2026-03-25T14:02:00+05:30,905.83,439.72,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 599.7, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-350,work_item,350,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-26T12:28:00+05:30,2026-03-26T14:54:00+05:30,285.08,171.9,driver_shortage_loss,"{""delay_minutes"": 9, ""basket_value_inr"": 264.96, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-352,work_item,352,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-21T12:14:00+05:30,2026-03-21T15:09:00+05:30,267.55,119.72,driver_shortage_loss,"{""delay_minutes"": 18, ""basket_value_inr"": 199.72, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
